step,rot_degrees,frame_ms,fps
1,9,5.33465,187.454
2,18,12.148,82.3179
3,27,4.96443,201.433
4,36,5.02206,199.122
5,45,4.86614,205.502
6,54,4.48533,222.949
7,63,4.44199,225.125
8,72,4.1847,238.966
9,81,3.92355,254.871
10,90,3.61793,276.401
11,99,3.64186,274.585
12,108,3.87169,258.285
13,117,4.07008,245.695
14,126,4.11968,242.738
15,135,4.20692,237.704
16,144,4.37684,228.475
17,153,4.68843,213.291
18,162,5.05524,197.815
19,171,5.34086,187.236
20,180,5.53735,180.592
21,189,5.51394,181.359
22,198,6.35253,157.417
23,207,5.61199,178.19
24,216,5.51689,181.261
25,225,5.40039,185.172
26,234,5.21695,191.683
27,243,4.99547,200.181
28,252,4.76125,210.029
29,261,4.36589,229.048
30,270,4.09927,243.946
31,279,4.46067,224.182
32,288,4.67259,214.014
33,297,4.94502,202.224
34,306,5.20629,192.075
35,315,5.3824,185.791
36,324,5.56823,179.59
37,333,5.60211,178.504
38,342,5.55465,180.029
39,351,5.46561,182.962
40,360,5.45023,183.479
