step,rot_degrees,frame_ms,fps
1,9,1.73882,575.102
2,18,2.89341,345.612
3,27,1.72361,580.177
4,36,2.08594,479.4
5,45,1.43516,696.789
6,54,1.82046,549.313
7,63,2.07126,482.797
8,72,1.60831,621.769
9,81,2.01561,496.128
10,90,1.52462,655.903
11,99,1.56817,637.687
12,108,2.49461,400.865
13,117,1.56309,639.759
14,126,2.33536,428.199
15,135,1.54515,647.185
16,144,1.47218,679.267
17,153,1.51589,659.679
18,162,1.60056,624.782
19,171,1.54082,649.007
20,180,1.57638,634.363
21,189,1.55624,642.572
22,198,1.56787,637.809
23,207,1.57666,634.251
24,216,1.66315,601.269
25,225,1.56926,637.243
26,234,1.64148,609.207
27,243,1.68537,593.342
28,252,1.63199,612.749
29,261,1.60906,621.482
30,270,1.6095,621.312
31,279,1.61853,617.843
32,288,1.52772,654.57
33,297,1.54173,648.623
34,306,1.58352,631.506
35,315,1.9519,512.322
36,324,1.62314,616.089
37,333,1.58351,631.51
38,342,1.51501,660.063
39,351,1.52944,653.832
40,360,1.48258,674.502
