# Bounding Box Culling
Frame,Frame (ms),FPS
1,22.20,45.05
2,22.09,45.26
3,22.00,45.45
4,21.85,45.78
5,21.71,46.07
6,21.64,46.22
7,21.68,46.14
8,21.52,46.47
9,21.69,46.11
10,21.90,45.66
11,22.11,45.24
12,22.35,44.74
13,22.39,44.66
14,22.23,44.99
15,22.34,44.77
16,22.45,44.55
17,22.32,44.80
18,22.48,44.48
19,22.59,44.28
20,22.69,44.07
21,22.79,43.88
22,22.80,43.85
23,22.91,43.65
24,22.86,43.75
25,23.06,43.37
26,22.85,43.76
27,22.82,43.82
28,23.14,43.22
29,22.58,44.28
30,22.49,44.47
31,22.26,44.92
32,22.11,45.23
33,22.01,45.44
34,21.96,45.53
35,23.21,43.09
36,38.17,26.20
37,24.83,40.28
38,22.91,43.65
39,23.34,42.85
40,23.30,42.91
41,23.27,42.97
42,23.56,42.44
43,23.71,42.17
44,23.89,41.87
45,23.99,41.68
46,24.27,41.20
47,24.20,41.32
48,24.48,40.85
49,24.56,40.71
50,24.57,40.69
51,24.56,40.72
52,24.78,40.35
53,24.38,41.03
54,24.26,41.22
55,24.32,41.11
56,24.33,41.11
57,24.50,40.82
58,24.31,41.14
59,24.38,41.02
60,24.47,40.87
61,24.57,40.70
62,24.56,40.71
63,24.66,40.54
64,24.05,41.58
65,23.92,41.80
66,24.18,41.36
67,23.96,41.73
68,25.24,39.61
69,25.08,39.87
70,25.66,38.98
71,25.48,39.25
72,25.71,38.90
73,25.93,38.56
74,26.40,37.87
75,26.77,37.36
76,27.27,36.67
77,27.79,35.99
78,28.21,35.45
79,28.59,34.97
80,28.97,34.52
81,29.64,33.74
82,30.72,32.55
83,30.73,32.54
84,31.18,32.07
85,31.55,31.70
86,32.16,31.09
87,32.59,30.69
88,33.01,30.29
89,33.79,29.59
90,33.84,29.55
91,34.50,28.99
92,35.23,28.38
93,35.61,28.08
94,35.95,27.82
95,36.53,27.38
96,36.92,27.09
97,37.16,26.91
98,37.51,26.66
99,37.58,26.61
100,38.32,26.10
101,39.68,25.20
102,39.00,25.64
103,39.37,25.40
104,39.16,25.54
105,39.54,25.29
106,39.88,25.07
107,40.26,24.84
108,40.25,24.85
109,40.95,24.42
110,40.83,24.49
111,41.08,24.34
112,41.30,24.21
113,41.55,24.06
114,41.69,23.98
115,41.76,23.95
116,41.77,23.94
117,42.38,23.59
118,42.02,23.80
119,42.28,23.65
120,41.91,23.86
121,41.85,23.90
122,42.11,23.75
123,41.51,24.09
124,41.51,24.09
125,42.29,23.65
126,41.37,24.17
127,41.62,24.03
128,41.37,24.17
129,42.47,23.55
130,41.89,23.87
131,41.78,23.94
132,41.18,24.29
133,41.09,24.34
134,41.10,24.33
135,41.18,24.29
136,41.11,24.32
137,41.97,23.83
138,40.96,24.42
139,40.47,24.71
140,39.97,25.02
141,39.72,25.18
142,39.66,25.21
143,39.66,25.21
144,39.14,25.55
145,38.92,25.70
146,39.05,25.61
147,39.48,25.33
148,40.08,24.95
149,40.26,24.84
150,40.90,24.45
151,41.34,24.19
152,41.53,24.08
153,42.35,23.61
154,41.99,23.81
155,41.93,23.85
156,41.86,23.89
157,41.71,23.97
158,41.59,24.05
159,41.52,24.09
160,41.44,24.13
161,42.61,23.47
162,41.45,24.13
163,41.33,24.19
164,40.68,24.58
165,40.30,24.82
166,40.22,24.86
167,39.97,25.02
168,39.76,25.15
169,39.53,25.30
170,39.24,25.48
171,39.01,25.63
172,39.06,25.60
173,38.51,25.97
174,38.25,26.14
175,37.98,26.33
176,37.62,26.58
177,37.45,26.70
178,40.06,24.96
179,37.41,26.73
180,36.86,27.13
181,36.32,27.53
182,35.92,27.84
183,35.59,28.10
184,35.16,28.44
185,34.67,28.84
186,34.44,29.04
187,35.80,27.93
188,33.78,29.60
189,33.48,29.87
190,32.65,30.63
191,32.74,30.55
192,31.76,31.48
193,31.42,31.83
194,31.00,32.26
195,30.53,32.75
196,30.01,33.32
197,29.64,33.74
198,29.21,34.24
199,28.83,34.68
200,28.20,35.46

# t culling
Frame,Frame (ms),FPS
1,16.88,59.25
2,16.15,61.92
3,16.22,61.66
4,15.84,63.15
5,15.67,63.82
6,15.68,63.76
7,15.75,63.51
8,15.68,63.78
9,15.89,62.94
10,16.04,62.34
11,16.11,62.06
12,16.15,61.91
13,16.28,61.41
14,16.34,61.20
15,16.43,60.88
16,16.56,60.37
17,16.70,59.88
18,16.83,59.43
19,17.02,58.77
20,17.14,58.35
21,17.18,58.20
22,17.21,58.10
23,17.32,57.75
24,17.26,57.93
25,17.30,57.81
26,17.25,57.98
27,17.22,58.08
28,17.52,57.06
29,17.02,58.76
30,16.86,59.32
31,16.80,59.54
32,16.92,59.09
33,16.62,60.18
34,16.49,60.64
35,16.43,60.85
36,16.56,60.39
37,16.73,59.76
38,16.96,58.95
39,17.28,57.86
40,17.34,57.67
41,17.61,56.79
42,17.72,56.44
43,17.93,55.76
44,18.09,55.29
45,19.36,51.66
46,18.63,53.69
47,18.60,53.76
48,18.54,53.95
49,18.36,54.46
50,18.33,54.56
51,18.33,54.57
52,18.36,54.47
53,18.33,54.54
54,18.13,55.14
55,18.07,55.34
56,17.99,55.59
57,17.92,55.80
58,17.84,56.04
59,17.98,55.61
60,18.04,55.45
61,18.01,55.53
62,17.97,55.65
63,17.90,55.86
64,17.38,57.55
65,17.53,57.04
66,17.60,56.82
67,17.69,56.53
68,17.77,56.29
69,24.58,40.69
70,22.23,44.99
71,18.55,53.90
72,18.70,53.47
73,20.83,48.00
74,19.55,51.14
75,19.55,51.16
76,19.32,51.77
77,19.76,50.60
78,20.05,49.87
79,20.08,49.80
80,20.36,49.12
81,20.69,48.33
82,21.63,46.22
83,21.43,46.65
84,22.00,45.45
85,22.61,44.23
86,23.42,42.71
87,23.57,42.43
88,23.78,42.06
89,23.95,41.76
90,24.11,41.48
91,24.44,40.91
92,24.62,40.62
93,25.07,39.89
94,25.40,39.37
95,27.33,36.59
96,25.78,38.79
97,26.62,37.57
98,26.23,38.13
99,26.36,37.94
100,26.48,37.76
101,26.92,37.14
102,26.84,37.26
103,27.27,36.67
104,27.19,36.78
105,27.47,36.41
106,27.76,36.02
107,28.10,35.59
108,27.91,35.83
109,28.11,35.58
110,28.26,35.38
111,28.32,35.31
112,28.23,35.42
113,28.15,35.52
114,28.19,35.47
115,27.90,35.84
116,27.81,35.95
117,27.83,35.94
118,27.82,35.95
119,27.98,35.74
120,27.51,36.35
121,27.84,35.93
122,27.66,36.16
123,27.85,35.91
124,28.00,35.71
125,27.59,36.25
126,27.36,36.55
127,27.30,36.63
128,27.33,36.59
129,27.64,36.18
130,27.82,35.94
131,28.01,35.70
132,27.76,36.03
133,27.91,35.82
134,28.27,35.37
135,28.09,35.59
136,28.29,35.35
137,28.82,34.70
138,28.30,35.34
139,28.26,35.39
140,28.05,35.65
141,28.95,34.54
142,28.11,35.58
143,28.00,35.71
144,27.41,36.48
145,27.08,36.93
146,27.14,36.85
147,27.63,36.19
148,27.95,35.77
149,27.92,35.82
150,28.40,35.21
151,28.82,34.70
152,29.06,34.41
153,29.51,33.89
154,29.70,33.67
155,29.81,33.55
156,30.33,32.97
157,30.40,32.89
158,30.89,32.37
159,30.82,32.45
160,29.96,33.38
161,29.40,34.01
162,28.95,34.54
163,28.87,34.64
164,28.66,34.89
165,28.73,34.81
166,28.94,34.56
167,28.79,34.74
168,28.64,34.91
169,28.63,34.92
170,28.37,35.25
171,28.15,35.52
172,28.04,35.66
173,27.90,35.85
174,27.81,35.95
175,27.77,36.02
176,27.97,35.75
177,28.36,35.27
178,27.61,36.21
179,27.36,36.55
180,26.66,37.51
181,26.53,37.69
182,26.31,38.01
183,26.08,38.35
184,25.64,39.01
185,25.59,39.07
186,25.10,39.84
187,24.76,40.38
188,24.48,40.85
189,24.34,41.08
190,23.89,41.85
191,24.32,41.13
192,23.25,43.01
193,22.90,43.67
194,22.51,44.42
195,22.05,45.35
196,21.54,46.44
197,21.14,47.30
198,20.74,48.22
199,20.42,48.98
200,20.02,49.95

# KD tree
Frame,Frame (ms),FPS
1,22.12,45.21
2,22.17,45.10
3,22.03,45.39
4,21.99,45.47
5,21.61,46.27
6,21.69,46.10
7,21.70,46.08
8,21.44,46.65
9,21.61,46.28
10,21.68,46.13
11,21.69,46.10
12,21.41,46.71
13,21.62,46.25
14,21.43,46.67
15,21.38,46.76
16,21.63,46.24
17,21.36,46.82
18,21.68,46.12
19,21.41,46.71
20,21.51,46.48
21,21.25,47.06
22,21.19,47.19
23,21.35,46.84
24,21.11,47.37
25,20.73,48.24
26,20.56,48.64
27,20.49,48.80
28,20.55,48.66
29,19.84,50.39
30,19.71,50.74
31,24.59,40.66
32,27.34,36.58
33,19.43,51.45
34,19.27,51.90
35,19.15,52.23
36,19.06,52.47
37,19.41,51.51
38,19.44,51.43
39,20.18,49.54
40,20.22,49.45
41,20.47,48.85
42,20.74,48.21
43,20.58,48.60
44,21.29,46.97
45,20.93,47.77
46,21.13,47.32
47,21.19,47.20
48,21.40,46.73
49,21.18,47.22
50,21.54,46.43
51,21.56,46.39
52,22.03,45.39
53,21.33,46.88
54,21.59,46.32
55,21.10,47.39
56,21.13,47.33
57,21.09,47.42
58,21.45,46.61
59,21.09,47.42
60,21.31,46.92
61,21.03,47.54
62,20.90,47.86
63,20.98,47.66
64,20.80,48.09
65,20.79,48.10
66,20.69,48.33
67,20.58,48.58
68,20.77,48.15
69,20.98,47.67
70,21.07,47.45
71,21.05,47.50
72,21.05,47.52
73,21.16,47.25
74,21.36,46.82
75,21.42,46.68
76,21.30,46.95
77,21.33,46.89
78,21.62,46.26
79,21.56,46.39
80,21.93,45.60
81,21.76,45.96
82,22.25,44.93
83,22.01,45.44
84,22.13,45.19
85,23.16,43.17
86,23.01,43.46
87,25.05,39.92
88,23.70,42.19
89,23.76,42.09
90,23.55,42.46
91,23.69,42.21
92,23.71,42.17
93,24.10,41.49
94,24.23,41.27
95,24.61,40.63
96,24.64,40.59
97,24.88,40.19
98,25.02,39.97
99,25.19,39.69
100,25.21,39.67
101,25.38,39.40
102,25.41,39.35
103,25.52,39.19
104,25.75,38.83
105,26.13,38.27
106,26.17,38.21
107,26.60,37.60
108,26.59,37.60
109,27.09,36.92
110,26.89,37.18
111,27.16,36.82
112,27.19,36.78
113,27.19,36.78
114,27.14,36.85
115,27.27,36.67
116,27.07,36.94
117,27.00,37.03
118,27.12,36.87
119,26.99,37.05
120,26.93,37.13
121,27.17,36.80
122,27.08,36.93
123,27.48,36.39
124,27.34,36.58
125,26.88,37.20
126,25.82,38.74
127,25.40,39.37
128,25.56,39.13
129,25.32,39.49
130,26.63,37.55
131,25.81,38.74
132,25.55,39.14
133,25.28,39.55
134,25.19,39.70
135,24.71,40.48
136,24.80,40.33
137,25.10,39.84
138,24.25,41.23
139,24.01,41.65
140,23.74,42.12
141,23.67,42.24
142,23.28,42.96
143,23.09,43.31
144,22.90,43.67
145,22.58,44.29
146,22.55,44.34
147,22.99,43.50
148,23.18,43.14
149,23.28,42.96
150,23.33,42.86
151,23.53,42.51
152,24.06,41.57
153,24.20,41.32
154,24.43,40.93
155,24.45,40.89
156,24.81,40.31
157,24.87,40.22
158,26.27,38.07
159,25.58,39.09
160,25.17,39.73
161,24.75,40.41
162,24.53,40.77
163,24.66,40.56
164,24.65,40.56
165,24.75,40.40
166,25.10,39.85
167,25.11,39.82
168,25.16,39.74
169,25.50,39.22
170,25.51,39.20
171,25.36,39.44
172,25.51,39.20
173,25.45,39.29
174,25.69,38.93
175,25.85,38.69
176,25.78,38.79
177,25.96,38.51
178,26.00,38.46
179,25.87,38.66
180,25.74,38.85
181,25.97,38.51
182,25.58,39.10
183,25.62,39.03
184,25.66,38.97
185,25.39,39.38
186,25.47,39.26
187,25.52,39.18
188,25.36,39.43
189,25.20,39.68
190,25.12,39.81
191,25.50,39.22
192,24.99,40.01
193,24.88,40.19
194,24.71,40.46
195,24.65,40.56
196,24.45,40.91
197,24.07,41.54
198,23.91,41.82
199,23.81,42.00
200,23.84,41.95

