# Bounding Box Culling
Frame,Frame (ms),FPS
1,6.90,144.87
2,7.05,141.81
3,6.62,151.00
4,6.44,155.38
5,6.39,156.40
6,6.32,158.22
7,6.62,151.09
8,6.87,145.54
9,7.04,142.08
10,7.25,137.98
11,7.38,135.55
12,7.55,132.44
13,7.63,131.01
14,7.77,128.74
15,7.86,127.19
16,10.72,93.27
17,8.24,121.30
18,9.25,108.06
19,8.33,120.00
20,8.42,118.72
21,8.55,116.97
22,8.58,116.53
23,8.80,113.63
24,8.91,112.23
25,9.00,111.11
26,9.09,110.05
27,9.18,108.89
28,9.20,108.74
29,9.91,100.88
30,9.31,107.46
31,9.37,106.71
32,9.67,103.40
33,9.50,105.22
34,14.85,67.32
35,9.52,105.07
36,9.67,103.41
37,9.63,103.81
38,9.70,103.12
39,9.65,103.63
40,9.65,103.60
41,9.59,104.33
42,10.53,94.93
43,9.51,105.19
44,9.36,106.80
45,9.24,108.26
46,9.12,109.68
47,9.00,111.15
48,8.86,112.86
49,8.70,114.96
50,8.47,118.02
51,8.32,120.23
52,8.18,122.30
53,8.00,125.03
54,7.73,129.44
55,7.69,130.12
56,7.89,126.77
57,8.11,123.28
58,8.31,120.35
59,8.47,118.05
60,8.63,115.87
61,8.75,114.28
62,8.98,111.31
63,9.14,109.41
64,9.31,107.37
65,9.35,106.90
66,9.44,105.95
67,9.49,105.36
68,9.50,105.26
69,9.50,105.30
70,9.41,106.23
71,9.39,106.44
72,9.34,107.03
73,9.25,108.12
74,9.13,109.54
75,8.99,111.27
76,8.91,112.20
77,8.86,112.80
78,8.86,112.83
79,8.81,113.49
80,8.72,114.62

# t culling
Frame,Frame (ms),FPS
1,5.59,178.97
2,5.66,176.56
3,5.35,186.76
4,5.16,193.95
5,5.05,197.92
6,4.89,204.47
7,5.20,192.46
8,5.37,186.32
9,5.52,181.30
10,5.64,177.46
11,5.76,173.75
12,5.85,170.93
13,5.93,168.72
14,5.98,167.30
15,6.46,154.89
16,6.05,165.17
17,6.14,162.88
18,6.23,160.58
19,6.28,159.24
20,6.33,158.00
21,6.47,154.63
22,6.56,152.39
23,6.71,148.95
24,6.90,144.97
25,7.00,142.86
26,7.12,140.45
27,7.22,138.48
28,7.29,137.22
29,7.32,136.66
30,7.32,136.70
31,7.35,136.11
32,7.63,131.11
33,7.43,134.56
34,8.04,124.34
35,7.47,133.79
36,7.48,133.69
37,7.43,134.61
38,7.43,134.63
39,7.46,134.09
40,7.37,135.70
41,7.36,135.85
42,7.38,135.42
43,7.38,135.58
44,7.40,135.17
45,7.39,135.29
46,7.29,137.25
47,7.22,138.50
48,7.05,141.83
49,6.96,143.72
50,6.77,147.71
51,6.53,153.12
52,6.31,158.51
53,6.07,164.69
54,5.82,171.96
55,5.79,172.70
56,6.09,164.27
57,6.33,158.01
58,6.52,153.31
59,6.73,148.60
60,6.79,147.19
61,6.83,146.34
62,6.95,143.86
63,7.04,142.06
64,7.24,138.16
65,7.29,137.21
66,7.34,136.24
67,7.43,134.53
68,7.51,133.10
69,7.59,131.74
70,7.63,131.11
71,7.66,130.49
72,7.69,130.06
73,7.64,130.85
74,7.62,131.19
75,7.56,132.31
76,7.50,133.31
77,7.51,133.16
78,7.47,133.93
79,7.42,134.69
80,7.37,135.71

# KD tree
Frame,Frame (ms),FPS
1,3.95,253.23
2,4.12,242.82
3,3.75,267.00
4,3.57,279.95
5,3.42,292.19
6,3.33,300.15
7,3.54,282.62
8,3.66,273.11
9,3.70,270.10
10,3.73,268.37
11,3.81,262.61
12,3.89,257.23
13,3.95,253.31
14,4.01,249.31
15,4.03,248.18
16,4.05,247.20
17,4.14,241.67
18,4.21,237.40
19,4.25,235.23
20,4.28,233.65
21,4.37,228.64
22,4.49,222.72
23,4.65,215.22
24,4.81,207.96
25,4.94,202.59
26,5.10,195.96
27,5.22,191.53
28,5.30,188.76
29,5.60,178.63
30,5.41,184.76
31,5.48,182.55
32,5.69,175.73
33,5.46,183.17
34,5.51,181.44
35,5.53,180.87
36,5.52,181.05
37,5.51,181.40
38,5.53,180.70
39,5.48,182.48
40,5.49,182.29
41,5.43,184.06
42,5.39,185.51
43,5.37,186.30
44,5.25,190.44
45,5.21,191.96
46,5.14,194.47
47,5.04,198.54
48,4.96,201.61
49,4.90,204.01
50,4.77,209.49
51,4.63,215.75
52,4.48,223.24
53,4.26,234.88
54,4.12,243.00
55,4.06,246.17
56,4.18,239.36
57,4.36,229.52
58,4.51,221.54
59,4.59,217.81
60,4.68,213.87
61,4.77,209.75
62,4.87,205.24
63,4.96,201.72
64,5.05,197.93
65,5.21,191.85
66,5.24,190.79
67,5.27,189.57
68,5.45,183.60
69,5.52,181.17
70,5.56,179.84
71,5.61,178.36
72,5.62,178.02
73,5.56,179.82
74,5.54,180.36
75,5.54,180.57
76,5.52,181.20
77,5.55,180.34
78,5.51,181.39
79,5.52,181.10
80,5.48,182.38

