# Bounding Box Culling
Frame,Frame (ms),FPS
116,1.67,598.40
117,1.64,610.10
118,1.63,613.29
119,1.70,588.35
120,1.66,603.63
121,1.69,592.13
122,1.68,594.82
123,1.62,615.82
124,1.65,605.98
125,1.63,614.01
126,1.82,549.36
127,1.68,595.76
128,1.61,620.95
129,1.55,643.41
130,1.66,602.30
131,1.66,600.89
132,1.62,615.43
133,1.59,629.22
134,1.65,606.98
135,1.58,632.36
136,1.64,609.46
137,1.64,611.47
138,1.64,609.36
139,1.64,610.49
140,1.63,612.46
141,1.63,612.91
142,1.63,613.50
143,1.63,614.75
144,1.63,613.32
145,1.62,618.45
146,1.63,614.02
147,1.62,615.41
148,1.68,596.54
149,1.58,634.53
150,1.64,610.58
151,1.58,633.27
152,1.96,511.26
153,1.65,607.86
154,1.64,608.23
155,1.61,621.63
156,1.64,611.40
157,1.65,607.31
158,1.60,626.15
159,1.63,612.35
160,1.62,616.94
161,1.63,612.85
162,1.64,608.60
163,1.69,590.40
164,1.64,609.49
165,1.62,618.36
166,1.64,608.58
167,1.65,606.88
168,1.65,606.97
169,1.63,612.25
170,1.65,606.96
171,1.86,538.49
172,1.64,608.52
173,1.61,619.24
174,1.59,628.03
175,1.66,602.95
176,1.65,607.23
177,1.66,602.73
178,1.65,605.48
179,1.66,602.69
180,1.65,607.85
181,1.67,599.62
182,1.71,585.63
183,1.64,609.36
184,1.63,615.17
185,1.70,588.25
186,1.64,611.22
187,1.66,601.94
188,1.63,612.33
189,1.66,602.97
190,1.63,615.01
191,1.71,585.00
192,1.67,599.59
193,1.60,625.90
194,1.60,623.52
195,3.71,269.18
196,5.14,194.41
197,3.74,267.21
198,3.72,268.48
199,3.79,263.70
200,3.66,273.15

# KD tree
Frame,Frame (ms),FPS
1,1.37,729.98
2,1.44,695.89
3,1.37,732.54
4,1.36,732.91
5,1.44,695.94
6,1.45,688.90
7,1.68,594.74
8,1.55,646.36
9,1.48,676.39
10,1.47,679.72
11,1.41,710.89
12,1.41,709.31
13,1.41,710.12
14,1.79,559.14
15,1.41,709.81
16,1.41,710.54
17,1.45,689.65
18,1.43,698.27
19,1.43,699.46
20,1.41,710.06
21,1.41,708.37
22,1.46,686.23
23,1.47,681.86
24,1.47,679.97
25,1.46,683.36
26,2.13,468.47
27,1.40,711.93
28,1.42,704.85
29,1.49,672.46
30,1.48,673.88
