# Naive
Frame,Frame (ms),FPS
319,567.17,1.76
320,572.92,1.75
321,576.63,1.73
322,579.98,1.72
323,583.25,1.71
324,585.23,1.71
325,588.84,1.70
326,591.40,1.69
327,594.66,1.68
328,598.23,1.67
329,600.15,1.67
330,600.32,1.67
331,603.33,1.66
332,604.91,1.65
333,606.63,1.65
334,607.07,1.65
335,609.36,1.64
336,612.56,1.63
337,615.30,1.63
338,616.63,1.62
339,617.99,1.62
340,619.53,1.61
341,620.76,1.61
342,622.02,1.61
343,622.52,1.61
344,622.53,1.61
345,623.67,1.60
346,624.66,1.60
347,625.73,1.60
348,626.36,1.60
349,628.14,1.59
350,628.49,1.59
351,628.67,1.59
352,629.23,1.59
353,628.77,1.59
354,628.80,1.59
355,628.88,1.59
356,627.80,1.59
357,628.48,1.59
358,628.08,1.59
359,630.32,1.59
360,630.12,1.59

# KD-tree
Frame,Frame (ms),FPS
1,14.51,68.93
2,14.51,68.92
3,14.45,69.19
4,14.42,69.35
5,14.45,69.22
6,14.84,67.37
7,14.37,69.57
8,14.33,69.79
9,14.30,69.94
10,13.99,71.50
11,13.94,71.74
12,13.90,71.92
13,13.89,72.01
14,13.82,72.35
15,13.78,72.55
16,13.73,72.82
17,13.69,73.05
18,13.67,73.15
19,13.67,73.17
20,13.65,73.27
21,13.64,73.32
22,13.67,73.14
23,13.68,73.08
24,13.67,73.13
25,13.67,73.15
26,13.63,73.37
27,13.55,73.82
28,13.45,74.37
29,13.34,74.98
30,13.24,75.53
31,13.15,76.06
32,13.07,76.50
33,13.01,76.89
34,12.96,77.13
35,12.92,77.39
36,12.91,77.45
37,12.86,77.75
38,12.83,77.93
39,12.85,77.84
40,12.87,77.73
41,12.87,77.70
42,12.92,77.39
43,12.95,77.24
44,12.98,77.02
45,13.05,76.63
46,13.09,76.42
47,13.09,76.40
48,13.05,76.64
49,13.01,76.87
50,13.01,76.89
51,12.99,76.97
52,12.98,77.05
53,12.96,77.14
54,12.95,77.21
55,12.97,77.12
56,12.97,77.10
57,12.99,76.99
58,12.99,76.97
59,12.97,77.09
60,12.92,77.37
61,12.84,77.87
62,12.79,78.16
63,12.75,78.46
64,12.69,78.79
65,12.65,79.06
66,12.62,79.25
67,12.58,79.49
68,12.58,79.52
69,12.59,79.43
70,12.59,79.46
71,12.63,79.16
72,12.64,79.13
73,12.69,78.83
74,12.73,78.53
75,12.81,78.09
76,12.88,77.61
77,12.98,77.03
78,13.07,76.53
79,13.14,76.12
80,13.17,75.91
81,13.16,75.99
82,13.12,76.23
83,13.09,76.41
84,13.04,76.70
85,13.02,76.79
86,13.03,76.75
87,13.03,76.76
88,13.04,76.67
89,13.06,76.56
90,13.09,76.40
91,13.10,76.36
92,13.15,76.02
93,13.17,75.93
94,13.19,75.81
95,13.21,75.72
96,13.22,75.63
97,13.26,75.42
98,13.25,75.45
99,13.28,75.31
100,13.30,75.21
101,13.27,75.33
102,13.27,75.35
103,13.29,75.25
104,13.30,75.16
105,13.33,75.00
106,13.37,74.81
107,13.40,74.62
108,13.43,74.46
109,13.50,74.08
110,13.53,73.93
111,13.59,73.57
112,13.64,73.29
113,13.72,72.86
114,13.81,72.41
115,13.89,72.02
116,13.94,71.73
117,13.99,71.48
118,14.02,71.35
119,14.02,71.30
120,14.05,71.17
121,14.08,71.02
122,14.10,70.91
123,14.14,70.71
124,14.12,70.83
125,14.12,70.82
126,14.13,70.77
127,14.12,70.84
128,14.13,70.76
129,14.13,70.77
130,14.14,70.74
131,14.14,70.72
132,14.14,70.72
133,14.17,70.57
134,14.20,70.43
135,14.20,70.43
136,14.24,70.25
137,14.26,70.15
138,14.28,70.02
139,14.30,69.95
140,14.32,69.81
