step,rot_degrees,frame_ms,fps
1,9,73.1034,13.6793
2,18,78.5686,12.7277
3,27,25.6625,38.9674
4,36,25.2154,39.6584
5,45,24.7493,40.4051
6,54,24.6553,40.5592
7,63,24.7839,40.3488
8,72,24.0598,41.5631
9,81,22.6381,44.1733
10,90,20.5751,48.6024
11,99,21.3532,46.8315
12,108,21.4617,46.5946
13,117,21.5942,46.3087
14,126,21.2501,47.0586
15,135,20.9697,47.6879
16,144,21.7616,45.9525
17,153,21.5531,46.3969
18,162,21.7763,45.9214
19,171,22.4179,44.6072
20,180,23.5777,42.413
21,189,24.8699,40.2093
22,198,25.5867,39.0829
23,207,26.3957,37.885
24,216,27.2912,36.6418
25,225,27.3248,36.5968
26,234,27.4318,36.454
27,243,25.4627,39.2732
28,252,25.235,39.6275
29,261,23.9663,41.7252
30,270,22.7926,43.8738
31,279,23.6332,42.3133
32,288,24.7171,40.4579
33,297,24.887,40.1816
34,306,25.3642,39.4257
35,315,25.7832,38.7849
36,324,26.1008,38.313
37,333,26.0008,38.4603
38,342,25.529,39.1712
39,351,24.831,40.2723
40,360,24.0649,41.5543
