# No DNF
Frame,Frame (ms),FPS
116,3.97,251.97
117,3.92,255.33
118,3.86,259.33
119,3.83,261.19
120,3.78,264.49
121,3.71,269.21
122,3.67,272.84
123,3.63,275.85
124,3.57,279.83
125,3.50,285.91
126,3.48,287.69
127,3.36,297.82
128,3.32,300.78
129,3.29,304.38
130,3.19,313.28
131,3.11,321.04
132,3.05,327.94
133,2.98,335.93
134,2.87,348.01
135,2.81,355.43
136,2.75,363.47
137,2.69,371.61
138,2.61,383.69
139,2.53,394.49
140,2.51,398.39
141,2.77,360.81
142,2.35,425.89
143,2.32,430.14
144,2.25,443.58
145,2.15,465.04
146,2.10,476.78
147,2.03,491.57
148,1.94,515.98
149,1.85,541.00
150,1.85,541.76
151,1.84,544.39
152,1.80,555.41
153,1.87,535.70
154,1.94,516.62
155,2.01,498.64
156,2.07,484.22
157,2.14,466.75
158,2.21,452.75
159,2.27,440.52
160,2.33,428.33
161,2.40,416.77
162,2.49,401.99
163,2.53,395.26
164,2.58,386.90
165,2.67,374.15
166,2.71,369.55
167,2.76,361.79
168,2.85,350.61
169,2.89,345.90
170,2.96,337.53
171,3.03,330.01
172,3.12,320.16
173,3.19,313.28
174,3.26,307.04
175,3.33,300.12
176,3.39,295.12
177,3.66,273.18
178,3.51,284.87
179,3.56,281.27
180,3.62,276.32
181,3.64,274.51
182,3.69,271.25
183,3.73,267.91
184,3.78,264.31
185,3.84,260.12
186,3.86,259.30
187,4.81,208.01
188,5.81,172.11
189,5.84,171.13
190,5.88,169.99
191,5.94,168.31
192,6.00,166.58
193,6.05,165.31
194,6.08,164.47
195,6.12,163.47
196,6.18,161.90
197,6.23,160.50
198,6.25,159.88
199,6.38,156.83
200,6.41,156.10

