step,rot_degrees,frame_ms,fps
1,9,1.56684,638.229
2,18,1.48953,671.354
3,27,1.72035,581.278
4,36,1.50673,663.688
5,45,1.43439,697.159
6,54,1.44879,690.231
7,63,1.44021,694.341
8,72,2.24181,446.069
9,81,2.5949,385.372
10,90,1.54117,648.859
11,99,1.41373,707.347
12,108,2.52633,395.832
13,117,1.4323,698.178
14,126,1.42554,701.49
15,135,1.40291,712.802
16,144,1.41507,706.681
17,153,1.49032,670.997
18,162,1.49081,670.776
19,171,1.40819,710.129
20,180,1.40629,711.091
21,189,1.41289,707.768
22,198,1.40091,713.822
23,207,1.45862,685.58
24,216,1.46127,684.334
25,225,1.44707,691.053
26,234,1.46021,684.832
27,243,1.42811,700.225
28,252,1.45284,688.307
29,261,1.45219,688.617
30,270,1.43011,699.249
31,279,1.42436,702.068
32,288,1.39012,719.363
33,297,1.35898,735.845
34,306,1.35808,736.335
35,315,1.74583,572.792
36,324,1.37564,726.933
37,333,1.3776,725.902
38,342,1.40577,711.354
39,351,1.38477,722.142
40,360,1.40818,710.134
