# Bounding Box Culling
Frame,Frame (ms),FPS
116,7.41,134.96
117,7.37,135.65
118,7.41,134.94
119,7.39,135.37
120,7.42,134.85
121,7.44,134.40
122,7.40,135.19
123,7.38,135.47
124,7.38,135.57
125,7.32,136.60
126,7.31,136.89
127,7.26,137.80
128,7.19,139.06
129,7.10,140.90
130,7.05,141.80
131,7.02,142.52
132,6.98,143.24
133,6.90,144.90
134,6.77,147.74
135,6.68,149.67
136,6.60,151.50
137,6.44,155.36
138,6.39,156.47
139,6.25,160.08
140,6.15,162.70
141,6.03,165.97
142,5.84,171.19
143,5.84,171.28
144,5.74,174.35
145,5.81,172.21
146,5.85,170.81
147,6.06,164.89
148,6.21,161.12
149,6.32,158.34
150,6.42,155.82
151,6.50,153.87
152,6.56,152.41
153,6.66,150.08
154,6.76,147.85
155,6.77,147.81
156,6.77,147.76
157,7.04,142.11
158,6.88,145.42
159,6.92,144.57
160,6.96,143.76
161,7.03,142.30
162,7.06,141.69
163,7.11,140.55
164,7.19,139.15
165,7.78,128.48
166,7.33,136.42
167,7.37,135.74
168,7.33,136.45
169,7.38,135.54
170,7.38,135.41
171,7.45,134.28
172,7.47,133.81
173,7.57,132.13
174,7.54,132.66
175,7.59,131.79
176,7.64,130.82
177,7.65,130.69
178,7.65,130.68
179,7.70,129.93
180,7.68,130.22
181,7.65,130.68
182,7.70,129.87
183,7.70,129.81
184,7.66,130.48
185,7.65,130.74
186,7.64,130.84
187,7.64,130.88
188,7.61,131.42
189,7.59,131.74
190,7.60,131.66
191,7.55,132.47
192,7.55,132.44
193,7.49,133.44
194,7.48,133.61
195,7.45,134.25
196,7.47,133.93
197,7.45,134.32
198,7.43,134.67
199,7.37,135.76
200,7.34,136.27

# KD tree
Frame,Frame (ms),FPS
1,4.88,204.78
2,6.03,165.72
3,4.80,208.55
4,4.75,210.51
5,4.81,208.01
6,4.81,207.80
7,4.72,212.04
8,4.70,212.56
9,4.65,214.88
10,4.65,215.01
11,4.58,218.28
12,4.56,219.34
13,4.53,220.84
14,4.50,222.27
15,4.45,224.76
16,4.41,226.75
17,4.39,227.58
18,4.37,228.74
19,4.29,233.26
20,4.25,235.44
21,4.16,240.67
22,4.04,247.39
23,4.03,248.41
24,5.38,185.84
25,4.10,243.90
26,3.95,253.00
27,3.92,254.91
28,3.86,259.24
29,3.81,262.43
30,3.78,264.85
31,3.73,267.74
32,3.86,259.02
33,3.57,280.31
34,3.50,285.88
35,3.42,292.51
36,3.36,297.31
37,3.36,297.44
38,3.38,295.85
39,3.48,287.30
40,3.55,281.82
41,3.61,277.00
42,3.66,272.96
43,3.72,268.97
44,3.72,269.17
45,3.73,268.36
46,3.73,268.00
47,3.77,265.01
48,3.81,262.23
49,3.84,260.46
50,3.88,257.47
51,3.91,255.84
52,3.90,256.43
53,3.98,251.37
54,4.01,249.33
55,4.03,248.25
56,4.02,248.92
57,4.04,247.44
58,4.04,247.45
59,4.04,247.27
60,4.11,243.54
61,4.14,241.81
62,4.16,240.48
63,4.19,238.59
64,4.22,236.71
65,4.24,236.11
