step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
147,131.97,390.024,2.56394,422501,422501
148,132.868,393.539,2.54104,420522,420522
149,133.766,395.375,2.52924,421773,421773
150,134.663,398.763,2.50775,427026,427026
151,135.561,402.061,2.48718,422401,422401
152,136.459,407.007,2.45696,422885,422885
153,137.357,410.501,2.43605,424416,424416
154,138.254,413.676,2.41735,426011,426011
155,139.152,417.303,2.39634,434560,434560
156,140.05,421.012,2.37523,438589,438589
157,140.948,423.569,2.36089,443056,443056
158,141.845,426.34,2.34555,442491,442491
159,142.743,428.824,2.33196,447690,447690
160,143.641,432.875,2.31014,459790,459790
161,144.539,434.953,2.2991,456812,456812
162,145.436,437.068,2.28798,466253,466253
163,146.334,439.498,2.27533,460498,460498
164,147.232,442.641,2.25917,458747,458747
165,148.13,448.191,2.23119,461949,461949
166,149.027,448.175,2.23127,460064,460064
167,149.925,452.636,2.20928,458068,458068
168,150.823,452.427,2.2103,452135,452135
169,151.721,456.339,2.19135,458535,458535
170,152.618,457.994,2.18344,460460,460460
171,153.516,457.549,2.18556,456702,456702
172,154.414,460.004,2.17389,461058,461058
173,155.312,462.948,2.16007,473328,473328
174,156.209,463.956,2.15538,479996,479996
175,157.107,462.352,2.16285,480812,480812
176,158.005,467.569,2.13872,492840,492840
177,158.903,465.265,2.14931,491666,491666
178,159.8,466.866,2.14194,495453,495453
179,160.698,467.656,2.13832,498248,498248
180,161.596,470.189,2.1268,499807,499807
181,162.494,470.776,2.12415,501454,501454
182,163.392,474.753,2.10636,507563,507563
183,164.289,475.322,2.10384,509111,509111
184,165.187,475.872,2.1014,510339,510339
185,166.085,476.329,2.09939,511117,511117
186,166.983,477.447,2.09447,512948,512948
187,167.88,478.636,2.08927,515471,515471
188,168.778,479.981,2.08341,518431,518431
189,169.676,479.939,2.0836,521760,521760
190,170.574,481.025,2.0789,524968,524968
191,171.471,481.847,2.07535,528247,528247
192,172.369,483.798,2.06698,532020,532020
193,173.267,483.965,2.06626,536593,536593
194,174.165,484.646,2.06336,540158,540158
195,175.062,485.383,2.06023,545169,545169
196,175.96,487.101,2.05296,549702,549702
197,176.858,486.273,2.05646,554297,554297
198,177.756,486.128,2.05707,558100,558100
199,178.653,486.502,2.05549,563817,563817
200,179.551,487.63,2.05073,568803,568803
201,180.449,486.08,2.05728,573133,573133
202,181.347,485.814,2.0584,577780,577780
203,182.244,484.6,2.06356,582666,582666
204,183.142,484.891,2.06232,588460,588460
205,184.04,484.259,2.06501,594876,594876
206,184.938,483.913,2.06649,600532,600532
207,185.835,484.846,2.06251,605781,605781
208,186.733,485.122,2.06134,613838,613838
209,187.631,484.515,2.06392,620357,620357
210,188.529,484.053,2.06589,628547,628547
211,189.426,483.217,2.06947,635211,635211
212,190.324,483.786,2.06703,643207,643207
213,191.222,482.174,2.07394,650231,650231
214,192.12,480.473,2.08128,657776,657776
215,193.017,479.027,2.08756,664491,664491
216,193.915,477.805,2.09291,667004,667004
217,194.813,475.828,2.1016,670195,670195
218,195.711,474.623,2.10694,669701,669701
219,196.608,473.047,2.11396,668343,668343
220,197.506,468.342,2.13519,660686,660686
221,198.404,469.983,2.12774,669228,669228
222,199.302,469.077,2.13185,669739,669739
223,200.2,466.603,2.14315,671901,671901
224,201.097,465.518,2.14814,674134,674134
225,201.995,462.916,2.16022,676255,676255
226,202.893,457.395,2.1863,669655,669655
227,203.791,459.233,2.17754,681188,681188
228,204.688,457.936,2.18371,684563,684563
229,205.586,452.754,2.20871,679356,679356
230,206.484,453.792,2.20365,693464,693464
231,207.382,452.301,2.21091,699887,699887
232,208.279,452.266,2.21109,705803,705803
233,209.177,448.736,2.22848,710675,710675
234,210.075,444.579,2.24932,702271,702271
235,210.973,441.696,2.264,700434,700434
236,211.87,440.008,2.27268,696096,696096
237,212.768,435.914,2.29403,688976,688976
238,213.666,433.951,2.30441,692899,692899
239,214.564,429.419,2.32873,677986,677986
240,215.461,427.514,2.33911,672906,672906
241,216.359,423.382,2.36194,679894,679894
242,217.257,420.105,2.38036,676706,676706
243,218.155,415.49,2.4068,664358,664358
244,219.052,413.845,2.41636,672429,672429
245,219.95,408.263,2.4494,670700,670700
246,220.848,404.503,2.47217,668929,668929
247,221.746,400.088,2.49945,665777,665777
248,222.643,397.039,2.51865,662362,662362
249,223.541,392.228,2.54954,660138,660138
250,224.439,387.857,2.57827,655055,655055
251,225.337,383.582,2.60701,651395,651395
252,226.234,380.288,2.62959,646967,646967
253,227.132,375.247,2.66491,642396,642396
254,228.03,369.563,2.7059,638350,638350
255,228.928,364.642,2.74242,624700,624700
256,229.825,361.007,2.77003,621634,621634
257,230.723,355.805,2.81053,627726,627726
258,231.621,350.756,2.85098,625333,625333
259,232.519,346.846,2.88312,613456,613456
260,233.416,343.046,2.91506,610639,610639
261,234.314,340.292,2.93865,616169,616169
262,235.212,334.706,2.9877,612838,612838
263,236.11,329.049,3.03906,611209,611209
264,237.007,324.752,3.07928,607977,607977
265,237.905,318.729,3.13746,604820,604820
266,238.803,313.09,3.19397,601203,601203
267,239.701,305.952,3.26849,590730,590730
268,240.599,300.282,3.3302,587916,587916
269,241.496,296.999,3.36702,593202,593202
270,242.394,291.242,3.43358,583506,583506
271,243.292,285.613,3.50124,587775,587775
272,244.19,279.255,3.58096,584657,584657
273,245.087,273.472,3.65668,580118,580118
274,245.985,268.889,3.719,572430,572430
275,246.883,262.625,3.80771,570772,570772
276,247.781,256.531,3.89817,568961,568961
277,248.678,250.925,3.98525,567482,567482
278,249.576,244.893,4.08342,567151,567151
279,250.474,239.14,4.18165,565299,565299
280,251.372,232.75,4.29645,563163,563163
281,252.269,226.766,4.40983,562395,562395
282,253.167,220.149,4.54237,560727,560727
283,254.065,214.282,4.66675,559529,559529
284,254.963,208.214,4.80275,559649,559649
285,255.86,203.18,4.92174,558458,558458
286,256.758,196.653,5.08509,558927,558927
287,257.656,191.454,5.22318,557529,557529
288,258.554,184.934,5.40732,555580,555580
289,259.451,178.245,5.61026,552779,552779
290,260.349,172.641,5.79236,549509,549509
291,261.247,166.971,5.98908,545885,545885
292,262.145,162.135,6.16769,541745,541745
293,263.042,155.087,6.44798,535572,535572
294,263.94,150.073,6.66344,527718,527718
295,264.838,145.105,6.89157,517861,517861
296,265.736,140.041,7.14078,506050,506050
297,266.633,136.662,7.31734,491944,491944
298,267.531,134.121,7.45595,477392,477392
299,268.429,132.328,7.55697,469168,469168
300,269.327,132.111,7.5694,464470,464470
301,270.224,133.567,7.4869,462350,462350
302,271.122,133.989,7.46331,465161,465161
303,272.02,136.175,7.34347,471380,471380
304,272.918,138.195,7.23618,483635,483635
305,273.815,141.027,7.09082,498353,498353
306,274.713,144.819,6.90518,511763,511763
307,275.611,149.207,6.70209,523907,523907
308,276.509,153.466,6.51611,532564,532564
309,277.406,158.976,6.29025,539842,539842
310,278.304,165.442,6.04443,544010,544010
311,279.202,170.122,5.87814,548264,548264
312,280.1,175.657,5.69292,551294,551294
313,280.998,180.708,5.5338,554125,554125
314,281.895,186.268,5.36862,556661,556661
315,282.793,191.979,5.2089,559220,559220
316,283.691,197.348,5.06719,559717,559717
317,284.589,203.917,4.90395,561004,561004
318,285.486,208.842,4.7883,562187,562187
319,286.384,214.509,4.66181,561937,561937
320,287.282,219.831,4.54895,562411,562411
321,288.18,226.127,4.4223,562741,562741
322,289.077,231.733,4.31532,562977,562977
323,289.975,238.537,4.19222,564051,564051
324,290.873,244.003,4.09831,565176,565176
325,291.771,249.667,4.00533,567513,567513
326,292.668,255.251,3.91771,569015,569015
327,293.566,261.581,3.82291,571631,571631
328,294.464,267.054,3.74456,574719,574719
329,295.362,272.808,3.66558,576144,576144
330,296.259,278.192,3.59464,579535,579535
331,297.157,284.489,3.51508,580625,580625
332,298.055,291.328,3.43256,584359,584359
333,298.953,298.976,3.34475,587639,587639
334,299.85,305.135,3.27724,589625,589625
335,300.748,313.275,3.19208,592086,592086
336,301.646,321.556,3.10988,595659,595659
337,302.544,328.674,3.04253,597995,597995
338,303.441,337.351,2.96427,601477,601477
339,304.339,345.365,2.89549,603107,603107
340,305.237,350.402,2.85386,603579,603579
341,306.135,357.73,2.79541,604731,604731
342,307.032,365.821,2.73358,605595,605595
343,307.93,371.565,2.69132,607548,607548
344,308.828,378.253,2.64373,609410,609410
345,309.726,358.534,2.78914,635270,635270
346,310.623,364.096,2.74653,640414,640414
347,311.521,366.387,2.72936,556354,556354
348,312.419,370.419,2.69964,557481,557481
349,313.317,378.011,2.64543,651776,651776
350,314.214,381.16,2.62357,559453,559453
351,315.112,385.124,2.59656,560824,560824
352,316.01,389.577,2.56689,561739,561739
353,316.908,395.102,2.53099,669667,669667
354,317.805,401.1,2.49315,673855,673855
355,318.703,403.192,2.48021,677019,677019
356,319.601,405.596,2.46551,570723,570723
357,320.499,413.195,2.42017,682848,682848
358,321.397,418.896,2.38723,686034,686034
359,322.294,421.331,2.37343,689503,689503
360,323.192,420.448,2.37841,584422,584422
361,324.09,430.325,2.32383,698249,698249
362,324.988,436.019,2.29348,702819,702819
363,325.885,431.621,2.31685,601503,601503
364,326.783,443.051,2.25708,714627,714627
365,327.681,436.823,2.28925,616865,616865
366,328.579,441.152,2.26679,622686,622686
367,329.476,443.635,2.2541,625747,625747
368,330.374,445.963,2.24234,625518,625518
369,331.272,448.495,2.22968,624187,624187
370,332.17,451.951,2.21263,618020,618020
371,333.067,452.116,2.21182,613323,613323
372,333.965,453.633,2.20443,606932,606932
373,334.863,455.317,2.19627,601131,601131
374,335.761,458.355,2.18171,598100,598100
375,336.658,459.06,2.17837,596431,596431
376,337.556,460.569,2.17123,594169,594169
377,338.454,462.424,2.16252,592803,592803
378,339.352,466.473,2.14375,594041,594041
379,340.249,467.326,2.13983,592740,592740
380,341.147,468.952,2.13241,592105,592105
381,342.045,469.828,2.12844,591866,591866
382,342.943,473.285,2.11289,593161,593161
383,343.84,472.756,2.11526,595800,595800
384,344.738,473.588,2.11154,596501,596501
385,345.636,474.755,2.10635,596235,596235
386,346.534,476.395,2.0991,592209,592209
387,347.431,476.72,2.09767,586648,586648
388,348.329,477.719,2.09328,581459,581459
389,349.227,478.828,2.08843,573991,573991
390,350.125,479.979,2.08343,565016,565016
391,351.022,478.815,2.08849,557984,557984
392,351.92,478.595,2.08945,551712,551712
393,352.818,478.141,2.09143,544718,544718
394,353.716,479.738,2.08447,538338,538338
395,354.613,478.91,2.08808,532339,532339
396,355.511,479.409,2.0859,526494,526494
397,356.409,479.228,2.08669,521300,521300
398,357.307,479.973,2.08345,516491,516491
399,358.204,479.356,2.08613,511352,511352
400,359.102,479.72,2.08455,506431,506431
401,360,480.526,2.08105,502517,502517
