step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
135,118.537,13.0232,76.7859,31864212,267373
136,119.415,13.0294,76.7496,31982963,266477
137,120.293,13.0284,76.7557,32090390,265587
138,121.171,13.0437,76.6653,32213642,266280
139,122.049,13.0621,76.5571,32315980,266264
140,122.927,13.0898,76.3954,32412776,266597
141,123.805,13.0959,76.3596,32504975,267170
142,124.683,13.1543,76.0208,32601835,268759
143,125.561,13.1697,75.9321,32686800,270263
144,126.439,13.1912,75.8083,32776417,272511
145,127.317,13.2065,75.7201,32845765,274266
146,128.195,13.2229,75.6263,32917994,276383
147,129.073,13.2598,75.4161,32986776,277821
148,129.951,13.2547,75.4452,33062642,279154
149,130.829,13.2782,75.3114,33140839,279514
150,131.707,13.2966,75.207,33238200,280390
151,132.585,13.2741,75.3346,33323185,279575
152,133.463,13.2721,75.3462,33416853,278772
153,134.341,13.2895,75.2475,33514188,278100
154,135.22,13.3048,75.1607,33628354,278342
155,136.098,13.3325,75.0048,33729078,278324
156,136.976,13.3673,74.8094,33831521,278466
157,137.854,13.4011,74.6208,33935201,279409
158,138.732,13.4308,74.4558,34039045,280623
159,139.61,13.4984,74.083,34150597,282847
160,140.488,13.526,73.9316,34247051,284075
161,141.366,13.5926,73.5696,34348675,286586
162,142.244,13.6438,73.2935,34446094,288952
163,143.122,13.7247,72.8615,34561783,292638
164,144,13.8107,72.4077,34665367,295185
165,144.878,13.8854,72.0179,34777345,297631
166,145.756,13.9418,71.727,34889614,298405
167,146.634,13.9899,71.4802,35007066,298631
168,147.512,14.0155,71.3496,35127226,297257
169,148.39,14.0247,71.3027,35246918,296493
170,149.268,14.0503,71.1728,35359069,296505
171,150.146,14.081,71.0176,35453232,296673
172,151.024,14.1025,70.9093,35538629,297634
173,151.902,14.1425,70.709,35622785,300000
174,152.78,14.1189,70.827,35684806,302142
175,153.659,14.1199,70.8219,35725294,304856
176,154.537,14.1312,70.7654,35763028,309195
177,155.415,14.1158,70.8424,35787049,314476
178,156.293,14.1332,70.7551,35802505,320735
179,157.171,14.1302,70.7705,35820423,327618
180,158.049,14.1353,70.7449,35838286,333441
181,158.927,14.1404,70.7193,35865632,339129
182,159.805,14.1394,70.7244,35900492,343753
183,160.683,14.1711,70.566,35943934,348308
184,161.561,14.1978,70.4336,35998252,352934
185,162.439,14.1988,70.4286,36046570,356538
186,163.317,14.2356,70.2462,36113418,360777
187,164.195,14.2551,70.1503,36170713,364453
188,165.073,14.2817,70.0195,36234447,367852
189,165.951,14.2961,69.9493,36288178,370593
190,166.829,14.3237,69.8143,36351894,374368
191,167.707,14.3493,69.6898,36422264,378297
192,168.585,14.3985,69.4519,36492259,382135
193,169.463,14.4282,69.3089,36560986,386101
194,170.341,14.4927,69.0004,36635993,390439
195,171.22,14.5971,68.5067,36706971,394580
196,172.098,14.6831,68.1053,36784725,399474
197,172.976,14.8193,67.4794,36870718,404907
198,173.854,14.9135,67.0532,36948232,409759
199,174.732,15.0292,66.5369,37028192,415277
200,175.61,15.1501,66.0063,37113174,420368
201,176.488,15.2566,65.5455,37192030,424947
202,177.366,15.358,65.1128,37277881,430666
203,178.244,15.4634,64.6687,37373143,437083
204,179.122,15.575,64.2053,37453026,442357
205,180,15.6774,63.7859,37535503,448179
206,180.878,15.7778,63.3802,37616555,453600
207,181.756,15.8863,62.9472,37692237,459372
208,182.634,16.0307,62.3802,37781027,466266
209,183.512,16.4332,60.8526,37870310,473058
210,184.39,16.5509,60.4196,37968373,481037
211,185.268,16.7086,59.8494,38062459,489120
212,186.146,16.9359,59.046,38156905,496770
213,187.024,17.0629,58.6066,38251511,504702
214,187.902,17.2093,58.108,38346580,512969
215,188.78,17.3732,57.56,38455802,522366
216,189.659,17.5473,56.9889,38555937,531649
217,190.537,17.7009,56.4944,38653936,541101
218,191.415,17.836,56.0663,38745206,550115
219,192.293,18.0122,55.5181,38822108,558591
220,193.171,18.047,55.4109,38883849,565584
221,194.049,18.1166,55.198,38957761,573718
222,194.927,18.2651,54.7493,38991342,578850
223,195.805,18.3368,54.5352,39021600,583176
224,196.683,18.4238,54.2776,39049683,586722
225,197.561,18.4986,54.0583,39067533,588935
226,198.439,18.5938,53.7814,39094045,592429
227,199.317,18.6511,53.616,39107144,594354
228,200.195,18.6655,53.5749,39149217,598845
229,201.073,18.7105,53.4458,39185826,602562
230,201.951,18.7208,53.4166,39228607,606921
231,202.829,18.7126,53.44,39276536,612194
232,203.707,18.8242,53.1231,39339524,618291
233,204.585,18.8416,53.074,39385074,623425
234,205.463,18.8703,52.9934,39443316,629957
235,206.341,18.9143,52.87,39488020,635909
236,207.22,19.0239,52.5655,39573956,645721
237,208.098,19.0935,52.3738,39624231,652726
238,208.976,19.1601,52.1919,39662296,658798
239,209.854,19.2051,52.0694,39684248,663544
240,210.732,19.2399,51.9752,39685193,666856
241,211.61,19.287,51.8483,39660615,668393
242,212.488,19.2502,51.9476,39624414,669436
243,213.366,19.198,52.0889,39557988,666612
244,214.244,19.1601,52.1919,39497893,665098
245,215.122,19.1201,52.3009,39445631,663885
246,216,19.0781,52.416,39412419,664341
247,216.878,19.0546,52.4808,39377976,663968
248,217.756,19.0577,52.4723,39343791,664593
249,218.634,19.0351,52.5344,39306044,664898
250,219.512,18.9962,52.642,39267934,665071
251,220.39,18.9645,52.7302,39227849,665205
252,221.268,18.8856,52.9503,39201852,666999
253,222.146,18.8703,52.9934,39168851,667599
254,223.024,18.8692,52.9963,39140797,669107
255,223.902,18.8211,53.1318,39109661,669871
256,224.78,18.7709,53.2738,39067110,670022
257,225.659,18.6829,53.5249,39034089,670366
258,226.537,18.6583,53.5954,39000510,671751
