# Bounding Box Culling
Frame,Frame (ms),FPS
1,24.36,41.05
2,24.78,40.35
3,25.43,39.32
4,16.01,62.46
5,11.04,90.58
6,24.30,41.15
7,23.92,41.80
8,22.93,43.61
9,22.15,45.14
10,21.80,45.87
11,22.38,44.68
12,22.73,43.99
13,22.87,43.72
14,23.99,41.69
15,23.26,43.00
16,21.92,45.62
17,20.22,49.44
18,18.88,52.97
19,16.74,59.74
20,15.19,65.83
21,13.55,73.81
22,12.00,83.36
23,10.80,92.63
24,10.02,99.76
25,9.37,106.75
26,8.93,112.01
27,7.72,129.49
28,7.99,125.21
29,7.29,137.15
30,7.04,142.08
31,6.72,148.76
32,6.34,157.76
33,5.99,166.99
34,5.81,172.24
35,5.76,173.74
36,5.46,183.31
37,5.22,191.65
38,5.00,200.05
39,4.96,201.54
40,4.71,212.20
41,4.47,223.84
42,4.29,233.09
43,4.20,238.18
44,3.67,272.66
45,3.36,297.38
46,3.11,321.47
47,3.20,312.12
48,2.68,373.14
49,2.53,394.61
50,2.29,436.83
51,2.28,438.52
52,2.15,464.57
53,2.08,481.00
54,1.98,505.83
55,1.76,567.11
56,1.82,549.34
57,1.94,514.47
58,2.01,497.31
59,2.06,484.62
60,2.17,460.76
61,2.26,443.39
62,2.43,412.23
63,2.60,385.25
64,2.74,365.62
65,2.95,339.41
66,3.22,310.54
67,3.38,295.56
68,3.73,267.83
69,4.03,248.31
70,4.35,229.71
71,4.49,222.62
72,4.80,208.45
73,4.83,206.89
74,4.73,211.33
75,5.12,195.41
76,5.08,196.80
77,5.26,190.01
78,5.52,181.11
79,5.68,175.95
80,5.96,167.85

# t culling
Frame,Frame (ms),FPS
1,4.95,202.14
2,4.69,213.09
3,3.69,271.24
4,2.83,353.56
5,1.16,859.08
6,2.03,493.27
7,2.75,363.30
8,3.49,286.90
9,4.10,244.04
10,4.69,213.13
11,4.96,201.56
12,5.34,187.17
13,5.64,177.38
14,5.97,167.53
15,6.19,161.45
16,6.30,158.65
17,6.35,157.51
18,6.46,154.73
19,6.44,155.29
20,6.58,151.87
21,6.69,149.54
22,7.07,141.46
23,7.13,140.27
24,7.19,139.10
25,7.22,138.55
26,7.32,136.70
27,7.37,135.72
28,7.35,136.07
29,7.41,135.00
30,7.44,134.34
31,7.29,137.24
32,7.63,131.09
33,7.25,138.02
34,7.08,141.34
35,6.88,145.43
36,6.77,147.65
37,6.87,145.63
38,6.75,148.16
39,6.76,148.00
40,6.58,151.92
41,6.52,153.36
42,6.43,155.47
43,6.34,157.85
44,6.12,163.45
45,5.82,171.94
46,5.62,178.01
47,5.28,189.51
48,4.85,206.19
49,4.57,218.65
50,4.25,235.33
51,3.70,270.53
52,3.20,312.10
53,2.64,378.78
54,1.91,523.52
55,1.18,847.79
56,2.27,439.89
57,2.96,338.12
58,3.79,263.57
59,4.07,246.00
60,4.62,216.22
61,4.89,204.57
62,5.29,189.02
63,5.58,179.22
64,6.02,166.24
65,6.16,162.30
66,6.41,156.02
67,6.73,148.54
68,6.74,148.29
69,6.79,147.19
70,7.08,141.20
71,7.16,139.67
72,7.13,140.27
73,7.26,137.67
74,7.28,137.30
75,7.16,139.61
76,7.42,134.68
77,7.64,130.94
78,7.67,130.40
79,7.68,130.19
80,7.85,127.33

# KD tree
Frame,Frame (ms),FPS
1,3.60,277.93
2,3.48,287.07
3,3.08,324.55
4,2.48,403.85
5,1.21,824.47
6,2.02,494.06
7,2.56,390.56
8,3.03,330.03
9,3.43,291.39
10,3.78,264.44
11,3.89,257.16
12,4.11,243.03
13,4.31,231.96
14,4.54,220.10
15,4.85,206.30
16,4.83,206.95
17,4.95,202.09
18,5.05,198.09
19,5.09,196.65
20,5.26,190.07
21,5.40,185.11
22,5.49,182.23
23,5.65,177.12
24,5.76,173.66
25,5.81,172.16
26,5.94,168.25
27,6.69,149.53
28,7.10,140.87
29,7.07,141.46
30,7.10,140.91
31,7.20,138.81
32,8.52,117.44
33,6.95,143.84
34,7.17,139.48
35,7.17,139.51
36,7.18,139.29
37,7.16,139.73
38,7.09,141.04
39,6.45,154.99
40,5.33,187.72
41,5.24,190.89
42,5.12,195.19
43,5.07,197.12
44,4.92,203.09
45,4.83,207.04
46,4.68,213.73
47,4.49,222.59
48,4.22,237.06
49,3.98,251.36
50,3.78,264.46
51,3.44,290.85
52,3.05,328.11
53,2.53,394.90
54,1.88,530.70
55,1.17,857.93
56,2.16,463.52
57,2.82,354.36
58,3.53,283.39
59,3.71,269.38
60,4.07,245.53
61,4.27,234.43
62,4.48,223.25
63,4.70,212.88
64,4.92,203.18
65,5.08,196.78
66,5.16,193.77
67,5.29,189.01
68,5.42,184.60
69,5.53,180.90
70,5.61,178.32
71,5.67,176.47
72,5.72,174.75
73,5.75,173.90
74,5.76,173.59
75,5.78,173.13
76,5.77,173.43
77,5.78,172.89
78,5.78,173.12
79,5.76,173.51
80,5.74,174.11

