Model,Config,Nodes,Depth,FPS avg,Std (ms),CV%,Median FPS
shuffled_spheres,Naive,10367,14,2.17,149.79,32.5,2.03
shuffled_spheres,KD-tree,10367,14,61.30,2.48,15.2,56.75
