step,rot_degrees,frame_ms,fps
1,9,3.48236,287.161
2,18,8.06507,123.991
3,27,2.19577,455.42
4,36,2.15342,464.377
5,45,2.02693,493.356
6,54,1.9715,507.229
7,63,1.74303,573.712
8,72,1.63437,611.857
9,81,1.60995,621.136
10,90,1.85792,538.235
11,99,1.479,676.131
12,108,1.65571,603.971
13,117,1.73868,575.15
14,126,1.84627,541.632
15,135,2.90896,343.766
16,144,2.21926,450.601
17,153,3.58438,278.989
18,162,2.22245,449.953
19,171,2.22851,448.729
20,180,2.50562,399.103
21,189,2.1698,460.871
22,198,2.16812,461.229
23,207,2.14228,466.792
24,216,2.11733,472.294
25,225,2.02784,493.134
26,234,2.25373,443.708
27,243,1.82223,548.777
28,252,1.66628,600.14
29,261,1.56609,638.533
30,270,1.18176,846.196
31,279,1.55598,642.681
32,288,1.6608,602.12
33,297,2.36147,423.465
34,306,1.92949,518.272
35,315,2.57939,387.688
36,324,2.21319,451.837
37,333,2.25253,443.945
38,342,2.2049,453.535
39,351,2.25488,443.482
40,360,2.43481,410.71
