step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
141,126.584,13.8949,71.969,413157,413157
142,127.481,13.9048,71.9177,415718,415718
143,128.379,13.9145,71.8677,417786,417786
144,129.277,13.8652,72.1232,419362,419362
145,130.175,14.0003,71.427,421041,421041
146,131.072,14.015,71.3519,421489,421489
147,131.97,14.2883,69.9874,421711,421711
148,132.868,14.0096,71.3794,421752,421752
149,133.766,14.0452,71.1986,421400,421400
150,134.663,13.9656,71.6046,421933,421933
151,135.561,14.0641,71.103,422129,422129
152,136.459,14.0984,70.9303,422587,422587
153,137.357,14.0815,71.0152,424019,424019
154,138.254,14.1265,70.789,424198,424198
155,139.152,14.1175,70.8341,425643,425643
156,140.05,14.1739,70.5522,427193,427193
157,140.948,14.1317,70.7631,428610,428610
158,141.845,14.2081,70.3826,430919,430919
159,142.743,14.1702,70.5704,432872,432872
160,143.641,14.2722,70.0662,434696,434696
161,144.539,14.4818,69.0521,435841,435841
162,145.436,14.2372,70.2387,435978,435978
163,146.334,14.1233,70.8049,434872,434872
164,147.232,14.2601,70.1255,431923,431923
165,148.13,14.2152,70.3474,429613,429613
166,149.027,14.2163,70.3419,427507,427507
167,149.925,14.1817,70.5134,425359,425359
168,150.823,14.1829,70.5072,424724,424724
169,151.721,14.1396,70.7235,424727,424727
170,152.618,14.0994,70.9251,425908,425908
171,153.516,14.1019,70.9126,427111,427111
172,154.414,14.0683,71.0816,429615,429615
173,155.312,14.0462,71.1938,432466,432466
174,156.209,14.0042,71.4069,436421,436421
175,157.107,13.9908,71.4755,440608,440608
176,158.005,13.9795,71.5334,444659,444659
177,158.903,13.9348,71.763,448440,448440
178,159.8,14.1837,70.5037,452753,452753
179,160.698,13.9781,71.5406,456118,456118
180,161.596,13.9281,71.7973,458402,458402
181,162.494,13.9374,71.7494,460095,460095
182,163.392,13.9418,71.727,462199,462199
183,164.289,13.906,71.9112,463722,463722
184,165.187,13.802,72.4534,465269,465269
185,166.085,13.8504,72.2003,465326,465326
186,166.983,13.7339,72.8127,466119,466119
187,167.88,14.0884,70.9806,466738,466738
188,168.778,13.7659,72.6435,467703,467703
189,169.676,13.7623,72.662,468799,468799
190,170.574,13.7004,72.9907,469349,469349
191,171.471,13.7517,72.7185,470068,470068
192,172.369,13.8381,72.264,471068,471068
193,173.267,13.7387,72.7869,471914,471914
194,174.165,13.8211,72.3532,472273,472273
195,175.062,13.8889,71.9999,474395,474395
196,175.96,13.8586,72.1575,474561,474561
197,176.858,13.9106,71.8877,475588,475588
198,177.756,13.9171,71.854,475208,475208
199,178.653,13.9078,71.902,475375,475375
200,179.551,13.943,71.7205,475140,475140
