step,rot_degrees,frame_ms,fps,nodes_visited,leaves_visited
139,248.955,2.60624,383.695,724974,450135
140,250.746,2.5349,394.493,694660,429530
141,252.537,2.5101,398.39,666927,410197
142,254.328,2.77158,360.805,641679,392340
143,256.119,2.34805,425.886,618174,375617
144,257.91,2.3248,430.144,595816,359742
145,259.701,2.25438,443.581,574683,344654
146,261.493,2.15035,465.04,554977,330398
147,263.284,2.09739,476.783,536593,316877
148,265.075,2.03431,491.567,519266,303962
149,266.866,1.93805,515.983,503256,291816
150,268.657,1.84842,541.003,488494,280484
151,270.448,1.84584,541.758,478670,272624
152,272.239,1.83693,544.388,481299,273760
153,274.03,1.80046,555.415,485325,275824
154,275.821,1.86673,535.696,491439,279379
155,277.612,1.93567,516.616,506712,288096
156,279.403,2.00546,498.64,523920,298788
157,281.194,2.06518,484.22,542108,310845
158,282.985,2.14248,466.748,561252,323684
159,284.776,2.20873,452.749,581348,337184
160,286.567,2.27002,440.525,602496,351425
161,288.358,2.33466,428.328,624610,366371
162,290.149,2.3994,416.77,647745,382055
163,291.94,2.4876,401.994,672258,398680
164,293.731,2.52996,395.263,698101,416267
165,295.522,2.58464,386.902,725472,434955
166,297.313,2.67273,374.149,754435,454834
167,299.104,2.70599,369.551,785090,476018
168,300.896,2.76407,361.786,816515,497846
169,302.687,2.85218,350.609,849532,520760
170,304.478,2.89103,345.898,887123,546478
171,306.269,2.96272,337.527,931199,575855
172,308.06,3.03023,330.008,981228,608330
173,309.851,3.12344,320.16,1039042,644811
174,311.642,3.192,313.283,1101359,683814
175,313.433,3.25693,307.038,1161650,721058
176,315.224,3.33198,300.122,1219053,756306
177,317.015,3.38844,295.121,1272402,788762
178,318.806,3.66055,273.183,1320086,817372
179,320.597,3.51043,284.865,1363156,842571
180,322.388,3.55524,281.275,1402918,866461
181,324.179,3.61905,276.316,1442168,890938
182,325.97,3.6429,274.506,1478245,914344
183,327.761,3.68671,271.245,1509563,935131
184,329.552,3.7326,267.909,1539146,954386
185,331.343,3.78346,264.308,1568932,973057
186,333.134,3.84432,260.124,1601430,992837
187,334.925,3.85658,259.297,1634893,1012819
188,336.716,4.80743,208.011,1663227,1029878
189,338.507,5.81011,172.114,1685301,1043725
190,340.299,5.84336,171.134,1700297,1053890
191,342.09,5.88288,169.985,1714369,1063312
192,343.881,5.94152,168.307,1732451,1075042
193,345.672,6.00297,166.584,1752739,1087245
194,347.463,6.04944,165.305,1780455,1103307
195,349.254,6.0802,164.468,1811153,1121114
196,351.045,6.1175,163.465,1839255,1137566
197,352.836,6.17676,161.897,1853576,1146967
198,354.627,6.23052,160.5,1867576,1156345
199,356.418,6.25458,159.883,1884813,1167619
200,358.209,6.37644,156.827,1907324,1181875
201,360,6.40626,156.097,1932805,1197548
